b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,class
'\'(61.4-69]\'','\'(50.2-57]\'','\'(77.8-85.5]\'','\'(97.8-105]\'','\'(65.8-71.5]\'','\'(105-110.5]\'','\'(117.2-126.6]\'','\'(25.5-32]\'','\'(65.7-72.6]\'','\'(53.628-61.741]\'','\'(-6.465-0.808]\'','\'(13.56-22.358]\'','\'(-5.26-1.23]\'','\'(-46.48--40.864]\'','\'(-50.36--44.998]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-25.138--23.037]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','d '
'\'(53.8-61.4]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(83.4-90.6]\'','\'(71.5-77.2]\'','\'(99.5-105]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(7.72-14.21]\'','\'(-52.096--46.48]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-3.323--2.594]\'','\'(-inf--9.004]\'','\'(-21.094--18.838]\'','\'(-1.621--1.412]\'','\'(-7.25--6.53]\'','\'(-20.936--18.835]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','d '
'\'(61.4-69]\'','\'(43.4-50.2]\'','\'(62.4-70.1]\'','\'(105-112.2]\'','\'(60.1-65.8]\'','\'(105-110.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(0.808-8.081]\'','\'(31.156-39.954]\'','\'(-11.75--5.26]\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(38.6-46.2]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(14.21-20.7]\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-30.118--27.862]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(69-76.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-30.118--27.862]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','h '
'\'(61.4-69]\'','\'(70.6-77.4]\'','\'(93.2-100.9]\'','\'(76.2-83.4]\'','\'(88.6-94.3]\'','\'(121.5-127]\'','\'(98.4-107.8]\'','\'(77.5-inf)\'','\'(107.1-inf)\'','\'(45.515-53.628]\'','\'(-28.284--21.011]\'','\'(-4.036-4.762]\'','\'(7.72-14.21]\'','\'(-68.944--63.328]\'','\'(-66.446--61.084]\'','\'(-30.265--20.99]\'','\'(-inf--48.191]\'','\'(-inf--51.494]\'','\'(-21.081--19.178]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.367--0.158]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-0.144-0.764]\'','\'(-3.092--2.258]\'','o '
'\'(38.6-46.2]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-5.594--4.76]\'','d '
'\'(69-76.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-15.372--13.469]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-18.838--16.582]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-12.532--10.431]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(53.8-61.4]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(105-112.2]\'','\'(77.2-82.9]\'','\'(116-121.5]\'','\'(107.8-117.2]\'','\'(32-38.5]\'','\'(65.7-72.6]\'','\'(53.628-61.741]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(-5.26-1.23]\'','\'(-57.712--52.096]\'','\'(-61.084--55.722]\'','\'(-30.265--20.99]\'','\'(-8.897--2.348]\'','\'(-17.564--10.778]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','o '
'\'(61.4-69]\'','\'(70.6-77.4]\'','\'(85.5-93.2]\'','\'(105-112.2]\'','\'(82.9-88.6]\'','\'(121.5-127]\'','\'(126.6-inf)\'','\'(32-38.5]\'','\'(72.6-79.5]\'','\'(45.515-53.628]\'','\'(-28.284--21.011]\'','\'(4.762-13.56]\'','\'(-11.75--5.26]\'','\'(-63.328--57.712]\'','\'(-66.446--61.084]\'','\'(-inf--48.815]\'','\'(-8.897--2.348]\'','\'(-17.564--10.778]\'','\'(-21.081--19.178]\'','\'(-3.323--2.594]\'','\'(-9.004--7.888]\'','\'(-21.094--18.838]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-20.936--18.835]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','o '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(69-76.6]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(97.8-105]\'','\'(71.5-77.2]\'','\'(110.5-116]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(-11.75--5.26]\'','\'(-52.096--46.48]\'','\'(-55.722--50.36]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-3.323--2.594]\'','\'(-9.004--7.888]\'','\'(-21.094--18.838]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-20.936--18.835]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','o '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(38.6-46.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(76.2-83.4]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(14.21-20.7]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-23.35--21.094]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','d '
'\'(76.6-84.2]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(105-112.2]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','h '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(7.72-14.21]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(16.11-25.385]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(53.8-61.4]\'','\'(70.6-77.4]\'','\'(108.6-116.3]\'','\'(76.2-83.4]\'','\'(71.5-77.2]\'','\'(105-110.5]\'','\'(51.4-60.8]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(-28.284--21.011]\'','\'(-21.632--12.834]\'','\'(14.21-20.7]\'','\'(-52.096--46.48]\'','\'(-50.36--44.998]\'','\'(16.11-25.385]\'','\'(-8.897--2.348]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','o '
'\'(69-76.6]\'','\'(70.6-77.4]\'','\'(85.5-93.2]\'','\'(112.2-119.4]\'','\'(71.5-77.2]\'','\'(116-121.5]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(65.7-72.6]\'','\'(29.289-37.402]\'','\'(-28.284--21.011]\'','\'(4.762-13.56]\'','\'(-24.73--18.24]\'','\'(-52.096--46.48]\'','\'(-61.084--55.722]\'','\'(-48.815--39.54]\'','\'(-8.897--2.348]\'','\'(-17.564--10.778]\'','\'(-17.275--15.372]\'','\'(-1.136--0.407]\'','\'(-2.308--1.192]\'','\'(-18.838--16.582]\'','\'(-0.576--0.367]\'','\'(-4.37--3.65]\'','\'(-14.633--12.532]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','d '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-18.24--11.75]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','h '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(29.289-37.402]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','h '
'\'(53.8-61.4]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(60.1-65.8]\'','\'(99.5-105]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-40.864--35.248]\'','\'(-39.636--34.274]\'','\'(-39.54--30.265]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(-inf-48.7]\'','\'(-inf-88.5]\'','\'(51.4-60.8]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(16.11-25.385]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','s '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(112.2-119.4]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-18.24--11.75]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','h '
'\'(53.8-61.4]\'','\'(63.8-70.6]\'','\'(85.5-93.2]\'','\'(83.4-90.6]\'','\'(82.9-88.6]\'','\'(121.5-127]\'','\'(98.4-107.8]\'','\'(64.5-71]\'','\'(107.1-inf)\'','\'(45.515-53.628]\'','\'(-21.011--13.738]\'','\'(4.762-13.56]\'','\'(1.23-7.72]\'','\'(-63.328--57.712]\'','\'(-66.446--61.084]\'','\'(-39.54--30.265]\'','\'(-48.191--41.642]\'','\'(-inf--51.494]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','o '
'\'(61.4-69]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(97.8-105]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-17.275--15.372]\'','\'(-1.136--0.407]\'','\'(-2.308--1.192]\'','\'(-16.582--14.326]\'','\'(-0.367--0.158]\'','\'(-3.65--2.93]\'','\'(-14.633--12.532]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(69-76.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-4.37--3.65]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','s '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-30.118--27.862]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
'\'(69-76.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-18.24--11.75]\'','\'(-24.016-inf)\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-4.37--3.65]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','d '
'\'(69-76.6]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(105-112.2]\'','\'(48.7-54.4]\'','\'(99.5-105]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(37.402-45.515]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(-18.24--11.75]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(65.8-71.5]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(7.72-14.21]\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','d '
